tweet_id	tweet_text	original_filename
1066007661701996544	RT @Reuters: More rain helps put out California fires, but raises landslide risk	california_wildfires_2018_dev.tsv
1064327655800086528	California’s Wildfire &amp; Climate Change Warnings Are Still Too Conservative, Scientist Says #auspol #qldpol #ExtinctionRebellion #ClimateStrike #StopAdani	california_wildfires_2018_dev.tsv
1061383403197489152	RT @AirConditionLV: Limit Outdoor Time: Poor Air Quality Due to Smoke From Fires - NBC Southern California	california_wildfires_2018_dev.tsv
1065250986992783360	Almost 1 million people are under flash flood watch in Northern California, where 4 to 6 inches of rain are expected to fall through Friday.	california_wildfires_2018_dev.tsv
1063139324101836801	The NWS already has a product called a fire warning, but its not something the agency issues so much as relays on behalf of emergency managers. Details:  #campfire	california_wildfires_2018_dev.tsv
1065386847025557505	California Wildfires: The Mask We Recommend (But You Should Stay Indoors Instead)  /by @wirecutter	california_wildfires_2018_dev.tsv
1067667465688227840	#Flooding could be a concern again for parts of California, especially in #wildfire burn scar areas. Heaviest rain here will be on Thursday: #CAwx	california_wildfires_2018_dev.tsv
1064652802578923521	In May 2018, the California Chaparral Institute issued a pretty common-sense warning to minimize fire destruction: Stop building houses and towns so close to areas with a high risk of wildfires. ὄ9ἿB	california_wildfires_2018_dev.tsv
1062059419842871296	Another one. This is going to be tough week. The conditions are ripe for multiple events like this throughout California, from San Diego to NoCal.	california_wildfires_2018_dev.tsv
1064194142262054912	As firefighters battle the deadly California wildfires, rain is expected to significantly aid the fight later next week, but new dangers may arise for residents and rescue crews:	california_wildfires_2018_dev.tsv
1065003275542499328	Hazy shot of downtown #Memphis from the @WMCActionNews5 #FirstAlert camera in Midtown. Meteorologist @spencerstorm5 says it’s hazy b/c of smoke from the California #wildfires! #memwx	california_wildfires_2018_dev.tsv
1064713857036414976	NEW: Flash Flood Watch for northern California from Wednesday-Friday. Mudslides possible, particularly in wildfire burn scar areas: #CAwx	california_wildfires_2018_dev.tsv
1064389975234494469	OPINION: While wildfires are nothing new for California, there must be a message in the smoke signals.	california_wildfires_2018_dev.tsv
1062078608779304960	Extreme fire danger: Stiff winds make fighting California fires a tough task	california_wildfires_2018_dev.tsv
1065216522975612928	Just in: Heavy rain could trigger flash floods, mudslides in areas scorched by wildfires  via @AJBCSurveys #whatsnew #stayinformed	california_wildfires_2018_test.tsv
1066164313881223168	Wallingford homeless camp fire threatens homes	california_wildfires_2018_test.tsv
1065436322901352448	It’s Not Just the Flames, It’s the Air Quality: As a Million Students Are Forced out of Class Due to California Wildfires and Smoke, State Schools Chief OKs Emergency Relief	california_wildfires_2018_test.tsv
1065907752814370816	California, including the Bay Area, continues to have very bad, unhealthy air quality due to wildfires raging around the region, particularly the Camp Fire. Limit outdoor activities! Pics taken from around San Jose, CA. (As of Thursday, November 15, 2018)	california_wildfires_2018_test.tsv
1065356055511613440	If there is one thing California businesses should take away from the new year-round fire season, it’s that you must have a disaster recovery plan in place. Check out our latest blog post outlining tips for disaster recovery planning. #DisasterRecovery	california_wildfires_2018_test.tsv
1061383500438351872	As relentless wildfires destroy communities in Northern California and Ventura County, dangerous fire-prone weather conditions will resurface in San Diego beginning Sunday.	california_wildfires_2018_test.tsv
1065467528007376896	Climate Scientist Says Global Warming Not Among the Real Problems Behind California Wildfires	california_wildfires_2018_test.tsv
1061783852748861445	RT @dahboo7: It Looks Like A Volcano Erupted In #California, Extreme Devil Winds May Worsen Fires #Breaking #News	california_wildfires_2018_test.tsv
1062106008221347841	#Portland Local #sagaftramembers - please share this information with anyone you know who may be affected by the California Fires! Amid SoCal Fires, Actors Fund and SAG-AFTRA Partners Activate Disaster Relief — and Not Just for Actors  #CAFire #1u #CA	california_wildfires_2018_test.tsv
1064912025627717632	Winds and Wildfires in California: 4 Factors to Watch That Increase Danger	california_wildfires_2018_test.tsv
1065338256156475398	Parade of storms to heighten #MUDSLIDE danger, douse wildfires in California into Friday  #GPWX	california_wildfires_2018_test.tsv
1064944121847193601	The National Weather Service has issued a flash flood watch for the regions battered by the Camp Fire from Wednesday through Friday.	california_wildfires_2018_test.tsv
1062075089343021056	Know before you go! If you are flying to or from areas affected by the #CAWildfires, check the status of your flight with your #airline. The FAA does not cancel flights but we do have info about delays at major airports:  #CampFire #WoolseyFire	california_wildfires_2018_test.tsv
1066082422226337793	White House quietly releases massive report warning that extreme weather disasters like California’s wildfires are worsening in the United States.	california_wildfires_2018_test.tsv
1064884446741049344	RT @williamsjey: New threat in California fires: Rain	california_wildfires_2018_test.tsv
1065640839924183040	Rain was falling across Southern California Thursday morning and the National Weather Service issued a flood advisory for much of Los Angeles County, including the Woolsey Fire burn area. The flood advisory is in effect until 3 a.m.	california_wildfires_2018_test.tsv
1061322367014625280	California Attorney General warns of price-gouging amid fires	california_wildfires_2018_test.tsv
1061372200039731200	#california there will be wild animals fleeing the fires. Please put out bowls and buckets of water and fill your bird baths #VenturaCounty #WoosleyFire	california_wildfires_2018_test.tsv
1065137550858153985	Rain in the forecast could aid crews fighting California’s deadly wildfires while raising the risk of flash floods and complicating efforts to recover human remains.	california_wildfires_2018_test.tsv
1064329604041588736	RT @randypcox: California wildfires: Air quality rated worlds worst	california_wildfires_2018_test.tsv
1065670116698923008	And of course the carcases that will float down to Walmart with the rain water	california_wildfires_2018_test.tsv
1065276210383589377	Theres now a flash flood watch in wildfire-ravaged areas of Northern California.	california_wildfires_2018_test.tsv
1064583409094324227	This is a warning from the future: people displaced by climate change exacerbated disasters being forced to flee and finding that the government is not ready to help them while realizing that the private sector sees them only as a nuisance	california_wildfires_2018_test.tsv
1065619006252507136	Approaching storms raise threat of mudslides in California burn areas - Los Angeles Times Fire ὒ5 &amp; Water Ὂ6 Sounds Biblical.	california_wildfires_2018_test.tsv
1064824074520662016	Heavy rain this week could help quench the Camp Fire burning in Northern California. But it could also cause flash flooding and mudflows, further endangering residents already devastated by the deadliest and most destructive wildfire in the states history	california_wildfires_2018_test.tsv
1064388483618287616	Thread. Its about wildfires in California. Content warnings absolutely necessary for this topic.	california_wildfires_2018_test.tsv
1061443151427260416	RT @B52Malmet: The worst fires ever in California are now.	california_wildfires_2018_test.tsv
1065165577763794944	***ALERT*** California Fire Affected Areas Some areas may experience rain. Officials state this could lead to Flash Floods,	california_wildfires_2018_test.tsv
1061358692828884995	Beach conditions in #santa monica / unbelievable dense smoke from the fires being whisked southward as winds pick up. #california @ Santa Monica Pier	california_wildfires_2018_train.tsv
1064969810541346817	Four inches of rain could hit Paradise this week, which will help firefighters battling the Camp Fire but could make it hard to find human remains.	california_wildfires_2018_train.tsv
1064659382607110144	Most local governments dealing with California’s deadly wildfires won’t see their credit ratings downgraded, according to a weekly Moody’s Investors Service report:  @MoodysInvSvc h/t @DaveNyczepir #CACounties #CAFire #creditrating #wildfires	california_wildfires_2018_train.tsv
1064890382524325888	Rain in wildfire-scarred California will end the fire threat. Now residents are preparing for flooding and mudslides.	california_wildfires_2018_train.tsv
1062613063008841728	Camp Fire Incident Update 11.13.18 PM #campfire @ButteSheriff @CountyofButte @townofparadise @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chico	california_wildfires_2018_train.tsv
1065348251723997184	With fires depleting in California, rain is approaching and could cause severe mudslides in the effected areas with debris. We want to help you be prepared and stay safe.	california_wildfires_2018_train.tsv
1065926095793520640	Castella/N Shasta Cnty CA:  FLASH FLOOD WATCH REMAINS IN EFFECT THROUGH THIS AFTERNOON The Flash Flood Watch continues for * The Camp Fire wildfire in Butte County, the Carr, Delta and Hirz wildfires in Shasta County and the Mendocino Complex in Lak	california_wildfires_2018_train.tsv
1064370566478450688	RT @BelievnTheDream: ὣ1PSA! California Fire Victims -Heads Up!	california_wildfires_2018_train.tsv
