run_id	Document ID	Document	Real Label	Assigned Topic Num	Assignment Score
1658696958	0	RT Ebola is not gon na come close to you your friends amp family members RT to claim	disease	2	0.5754810571670532
1658696958	1	It 's too to watch put an infectious disease between an infectious disease doctor and Ebola	disease	1	0.9487040638923645
1658696958	2	RT How the infectious disease Ebola http	disease	0	0.610798716545105
1658696958	3	it 's all about questions will be raised re WHO post ebola	disease	0	0.640494167804718
1658696958	4	WHO declares that has Ebola transmission within its http	disease	0	0.9353931546211243
1658696958	5	Ebola of fever pain by	disease	2	0.8358242511749268
1658696958	6	Our look at ebola treatment `` was with can do during an outbreak http	disease	0	0.9077499508857727
1658696958	7	Outbreak of Ebola Virus Disease in http via	disease	3	0.5950719118118286
1658696958	8	RT Read this From to Ebola The of Over Disease http http	disease	0	0.9518570303916931
1658696958	9	am disease if you contact me you will die before the next 21 days what am EBOLA	disease	0	0.6421947479248047
1658696958	10	BREAKING NEWS Emergency with Ebola Symptoms http via	disease	3	0.5012229084968567
1658696958	11	lot of questions and ... should work or just na learn and not ..	disease	1	0.5390101671218872
1658696958	12	RT Hope they can disease spreading RT Ebola EbolaOutbreak in West Africa at the moment http //t…	disease	0	0.7364252209663391
1658696958	13	Our is live press re patient treated at Medical for ebola symptoms http	disease	0	0.7555720210075378
1658696958	14	CNN vaccine There Is experimental Ebola treatment	disease	0	0.7459039092063904
1658696958	15	for to giving me the treatment like ... http	disease	0	0.9368230104446411
1658696958	16	RT Ebola Nurse May Have Infected Up To 1,000 On If Disease Is Now http //…	disease	0	0.8630993366241455
1658696958	17	Hit By Ebola Liberia Now Third Treatment Center http	disease	0	0.6246501803398132
1658696958	18	You guys remember the The one that were out by disease Ebola	disease	1	0.7848331332206726
1658696958	19	RT Symptoms of Ebola http	disease	3	0.4620704650878906
1658696958	20	`` no such thing as America when it comes to infectious disease '' to stop Ebola is in Africa	disease	0	0.5042359232902527
1658696958	21	RT `` CDC Now of Transmission of Ebola http ebola ''	disease	0	0.7950518727302551
1658696958	22	guys join in few questions and	disease	1	0.6378941535949707
1658696958	23	RT Symptoms of Ebola May Allah save this country http	disease	0	0.9403231739997864
1658696958	24	RT Ebola student Hospital in last night	disease	0	0.5461364388465881
1658696958	25	RT Ebola no to travel if needed Experts on disease say not most	disease	1	0.5409411787986755
1658696958	26	If ur does n't provide make sure to take some when are word is enough for the Prevention is better than cure Ebola	disease	2	0.6492113471031189
