run_id	method	method_specific_params	dataset	num_given_topics	reduced	topic_num	topic_size	topic_words	word_scores	num_detected_topics	num_final_topics	duration_secs	diversity_unique	diversity_inv_rbo	coherence_npmi	coherence_v	rand_index
1658692225	nmf	{}	crisis_17	10	False	0	10963	['for', 'you', 'are', 'relief', 'and', 'your', 'of', 'victims', 'on', 'amp']	"[0.62415412 0.07513024 0.05081926 0.04403363 0.03914366 0.03842096
 0.03462959 0.03381621 0.03147778 0.02837456]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	1	3445	['is', 'the', 'in', 'The', 'of', 'with', 'has', 'This', 'on', 'damage']	"[0.34225343 0.13056672 0.12009935 0.08749592 0.084583   0.07861192
 0.05471989 0.03645736 0.03294461 0.03226779]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	2	5346	['in', 'you', 'are', 'people', 'have', 'help', 'need', 'amp', 'can', 'those']	"[0.62000147 0.07922978 0.07363352 0.04891694 0.04361681 0.03099658
 0.03059649 0.02849487 0.02244477 0.02206878]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	3	19241	['to', 'help', 'is', 'by', 'amp', 'you', 'donate', 'relief', 'be', 'our']	"[0.64368291 0.0814415  0.04409551 0.03718418 0.03638576 0.03474482
 0.03446241 0.03278982 0.02779839 0.02741471]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	4	4423	['Hurricane', 'amp', 'Harvey', 'Irma', 'Maria', 'by', 'Puerto', 'Rico', 'At', 'NC']	"[0.28419418 0.1653107  0.09925952 0.08953644 0.08654277 0.07564198
 0.05784731 0.0517831  0.0471397  0.04274429]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	5	3308	['to', 'Hurricane', 'Dorian', 'as', 'the', 'Florida', 'and', 'of', 'Florence', 'in']	"[0.22849778 0.19687423 0.13742107 0.1234816  0.06903476 0.05860316
 0.05192451 0.04711515 0.04473067 0.04231708]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	6	5191	['of', 'victims', 'people', 'Kerala', 'water', 'amp', 'as', 'have', 'KeralaFloods', 'The']	"[0.80892741 0.03353148 0.02629169 0.02338685 0.02197778 0.01901909
 0.01784573 0.01745419 0.01608875 0.01547704]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	7	5340	['and', 'are', 'with', 'people', 'all', 'have', 'our', 'prayers', 'by', 'in']	"[0.68685592 0.07166076 0.0414344  0.03713788 0.03053321 0.03035417
 0.02921053 0.02511419 0.024607   0.02309194]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	8	4828	['from', 'RT', 'in', 'damage', 'earthquake', 'toll', 'as', 'Irma', 'California', 'Puerto']	"[0.35174701 0.2214172  0.15978495 0.05282599 0.04621256 0.04323518
 0.03631452 0.03195134 0.02827258 0.02823867]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
1658692225	nmf	{}	crisis_17	10	False	9	14399	['the', 'and', 'are', 'on', 'by', 'that', 'people', 'all', 'will', 'California']	"[0.71833432 0.0420659  0.04011498 0.03829729 0.03778577 0.03770255
 0.02361954 0.02194009 0.02048468 0.01965487]"	10	10	290.72	0.53	0.8718869534620635	0.010048922752546013	0.48115596302718516	0.7589180742881497
