tweet_id	tweet_text	label
'541357334178824192'	Typhoon hits same place as last year (7000+ killed), deaths already reported http://t.co/luatJHQFiz	injured_or_dead_people
'541995520533999616'	Typhoon Hagupit (Ruby) - Red Cross - Alive and missing persons http://t.co/ht7qaFyJkw	missing_trapped_or_found_people
'541752063877599232'	RT @CDSL_SAC: Metro Manila is now under Signal #2. Expect heavy rains over Metro Manila tomorrow, December 8. Stay safe, Ruizians! ὠA #RubyPH	caution_and_advice
'542174862173691907'	RT @uplbperspective: UPLB CURRENT CONDITIONS: 24 degrees,  42.2 mm of rain. Barometer reading: 756.6 mm, rain falling steadily. #RubyPH	other_useful_information
'541829976341762048'	#RubyPH let's pray. be safe	sympathy_and_emotional_support
'541562943847272449'	RT @rapplerdotcom: #RubyPH cuts power lines in Southern Luzon, Visayas http://t.co/skw4dRHtXZ http://t.co/JkNTsWUH6v	infrastructure_and_utilities_damage
'541246399426625536'	3Novices:Super Typhoon Lashes Philippines as 600,000 Flee http://t.co/GepZSmzxnA Super Typhoon Hagupit began to lash the eastern Philip...	displaced_people_and_evacuations
'541210384800030720'	#TeamYamita Hundreds of Thousands Evacuated in Philippines as Typhoon Hagupit Nears: The s... http://t.co/IH02p05Zjj Unete A #TeamYamita	displaced_people_and_evacuations
'541610392825634816'	CALL FOR VOLUNTEERS: Repacking of #RubyPH relief goods at the @dswdserves NROC in Pasay City. (Jerome Paunan)	donation_needs_or_offers_or_volunteering_services
'540796767663439872'	RT @ChannelNewsAsia: Filipinos seek shelter in churches, schools and evacuation centres as Typhoon #Hagupit looms  http://t.co/p0Ci67qvll h…	displaced_people_and_evacuations
'541550546193108992'	RT @TomSaterCNN: Typhoon #Hagupit #RubyPH  Tough forecast. Inside look here. http://t.co/NQOG082T47 @BrandonCNN @cnni http://t.co/75aoSC6vZI	other_useful_information
'541249479324606466'	To make matters worse, some areas are still trying to recover from #Haiyan which will leave them more vulnerable to the impacts of #Hagupit.	other_useful_information
'541228841138524160'	RT @violettiramisu: My friend's neighborhood in Ormoc. Not taking chances. #ormoc #RubyPH #Hagupit http://t.co/Si8orl3u2B	other_useful_information
'541574216240209922'	8:35 PM - Light to moderate rains affecting Panay Island, Guimaras, and nearby areas which may persist for 1-2 hours. #RubyPH	other_useful_information
'541697581865107456'	RT @govph: Comprehensive situation report on #RubyPH (as of 6:00 p.m., December 7): http://t.co/IegrwgTPIF http://t.co/1KzbvMfXb7	other_useful_information
'540122656280813568'	RT @ABSCBNNews: PAGASA: Hagupit's winds can generate waves up to 4 meters. #RubyPH	other_useful_information
'541299325549436929'	RT @UNDP: Strong winds reported b4 #RubyPH's landfall. Our thoughts w/ pple of #Philippines &amp; @UNDPPH in #Manila #Tacloban #Borongan #Hagup…	sympathy_and_emotional_support
'540586722266865664'	RT @ANCALERTS: Eastern Samar PDRRMO chief Levi Nicart: Guiuan, Hernani already started evacuating residents; other municipalities to start …	displaced_people_and_evacuations
'540985128260882432'	Good morning. Keep the Faith! ὤF #RubyPH  #Hagupit	sympathy_and_emotional_support
'542094335219482625'	Novaleta municipality in Cavite province on alert for rising water level of Ilang-Ilang dam #RubyPH	caution_and_advice
'542051278109433856'	RT @InfoCSFP: @DepEd_PH City of San Fernando, Pampanga #WalangPasok ALL LEVELS on December 9, 2014 (Tuesday) due to #RubyPH. http://t.co/iW…	not_related_or_irrelevant
'541783265061777408'	Be informed always. . . #RubyPH http://t.co/u1x521x0Is	caution_and_advice
'541620931626405889'	Typhoon Hagupit rips through Philippines: More than 1 million people had fled to shelters by the time... http://t.co/KjgjkAXTZi @TeamLOA	displaced_people_and_evacuations
'541616894780780545'	RT @TagaLPU: PAGASA: Residents of NCR, other parts of Central &amp; Southern Luzon should brace for strong winds, heavy rains on Monday #RubyPH	caution_and_advice
'542075521316966400'	RT @UNICEFLive: Good news from #Philippines: Families find shelter as they brace for Typhoon #Hagiput http://t.co/kiJXudbE8D #rubyph http:/…	displaced_people_and_evacuations
'541666762681368576'	#RubyPH oh what is this, a walk in the park? :O	not_related_or_irrelevant
'541891227860217856'	i pray that you all really strong typhoon ruby... #rubyph #bagyongruby	sympathy_and_emotional_support
'540662094681899008'	RT @UMC_UMCOR: UMCOR Philippines team is taking down a tent w/ supplies ahead of #Hagupit potenially hitting Tacloban. Supplies moved to co…	caution_and_advice
